,f1,f2,f_screen,num_of_rows,screen_coef_mean,screen_coef_lower,screen_coef_upper,score_screen_mean,score_screen_lower,score_screen_upper,score_elim_mean,score_elim_lower,score_elim_upper
68,177.0,189.0,101.0,452.0,1.2873099136319657,1.0976620411724556,1.4769577860914758,0.14956521739130432,0.1369531088814924,0.16217732590111625,0.19014492753623183,0.17801589458050981,0.20227396049195384
69,177.0,189.0,172.0,452.0,1.2455900981542172,1.0683103782657752,1.4228698180426593,0.15439613526570045,0.14215914760930676,0.16663312292209415,0.19014492753623183,0.17801589458050981,0.20227396049195384
70,75.0,266.0,278.0,452.0,1.2759697976107653,1.150330024330179,1.4016095708913516,0.21178743961352653,0.2003093392387979,0.22326553998825516,0.2687922705314009,0.25682905404678014,0.2807554870160217
71,210.0,258.0,278.0,452.0,1.2762771280607992,1.150660391935236,1.401893864186362,0.2063768115942029,0.19474112279096473,0.21801250039744108,0.26193236714975837,0.2508583491541004,0.27300638514541636
72,101.0,176.0,4.0,452.0,1.1283548061404316,1.0084199698614564,1.248289642419407,0.22086956521739126,0.20764250583361796,0.23409662460116457,0.24763285024154583,0.23606771112497504,0.2591979893581166
73,167.0,176.0,198.0,452.0,1.2184427627659171,1.0946680053198945,1.3422175202119395,0.2035748792270531,0.1924444061248729,0.21470535232923332,0.24666666666666665,0.235031079765747,0.2583022535675863
74,17.0,206.0,248.0,452.0,1.1884233171065754,1.0694112526581319,1.3074353815550193,0.21072463768115937,0.19939849766748066,0.22205077769483808,0.2490821256038647,0.23746360032834918,0.2607006508793802
75,239.0,266.0,198.0,452.0,1.3662238776599787,1.221202012012994,1.511245743306963,0.20222222222222222,0.19055876302425945,0.213885681420185,0.2745893719806763,0.2611976244911002,0.2879811194702524
76,206.0,266.0,168.0,452.0,1.1718528625710238,1.0586069886379659,1.2850987365040816,0.22599033816425115,0.2140767577860055,0.23790391854249682,0.2634782608695652,0.2518467507934445,0.27510977094568595
77,176.0,206.0,168.0,452.0,1.15939830624008,1.0430091610044805,1.2757874514756795,0.2108212560386473,0.19935953657760982,0.22228297549968476,0.24309178743961352,0.2318431797815057,0.25434039509772133
78,247.0,266.0,278.0,452.0,1.1638209859625361,1.0622084981005888,1.2654334738244835,0.2525603864734299,0.24093332333345777,0.26418744961340196,0.2927536231884058,0.2806221540708767,0.3048850923059349
