,f1,f2,screen_f,screen_koef
47,178.0,223.0,4.0,1.0062305295950154
48,92.0,248.0,178.0,1.0063091482649842
49,223.0,266.0,168.0,1.0063492063492063
50,90.0,248.0,4.0,1.0063694267515924
51,7.0,90.0,168.0,1.0063897763578276
52,101.0,266.0,278.0,1.0064516129032257
53,206.0,266.0,198.0,1.006472491909385
54,239.0,266.0,196.0,1.0064935064935066
55,239.0,266.0,178.0,1.0064935064935066
56,17.0,206.0,198.0,1.0064935064935066
57,167.0,206.0,168.0,1.006514657980456
58,162.0,266.0,248.0,1.006514657980456
59,167.0,206.0,248.0,1.006514657980456
60,90.0,99.0,92.0,1.006535947712418
61,176.0,210.0,4.0,1.006578947368421
62,176.0,177.0,4.0,1.006578947368421
63,162.0,176.0,4.0,1.006578947368421
64,17.0,176.0,4.0,1.006578947368421
65,172.0,176.0,4.0,1.006578947368421
66,223.0,257.0,92.0,1.006578947368421
67,68.0,75.0,227.0,1.0066006600660067
68,191.0,210.0,167.0,1.0067340067340067
69,177.0,189.0,89.0,1.0067567567567568
70,189.0,197.0,172.0,1.0068027210884354
71,189.0,191.0,172.0,1.0068027210884354
72,189.0,191.0,101.0,1.0068027210884354
73,189.0,191.0,125.0,1.0068027210884354
74,177.0,208.0,68.0,1.0068493150684932
75,177.0,208.0,89.0,1.0068493150684932
76,137.0,147.0,246.0,1.006896551724138
77,137.0,147.0,191.0,1.006896551724138
78,137.0,147.0,162.0,1.006896551724138
79,137.0,260.0,199.0,1.0069686411149825
80,137.0,260.0,52.0,1.0069686411149825
81,137.0,260.0,112.0,1.0069686411149825
82,137.0,260.0,239.0,1.0069686411149825
83,176.0,223.0,248.0,1.009433962264151
84,92.0,176.0,178.0,1.0094637223974763
85,223.0,248.0,168.0,1.0095238095238095
86,227.0,266.0,278.0,1.0095238095238095
87,90.0,248.0,168.0,1.0095846645367412
88,90.0,266.0,168.0,1.0095846645367412
89,90.0,206.0,232.0,1.0097087378640777
90,90.0,258.0,232.0,1.0097087378640777
91,206.0,266.0,166.0,1.0097402597402598
92,176.0,206.0,198.0,1.0097402597402598
93,17.0,266.0,248.0,1.009771986970684
94,68.0,266.0,248.0,1.009771986970684
95,239.0,266.0,248.0,1.009771986970684
96,17.0,206.0,168.0,1.009771986970684
97,99.0,223.0,92.0,1.0098039215686274
98,162.0,266.0,278.0,1.0098039215686274
99,162.0,266.0,198.0,1.0098039215686274
100,7.0,75.0,278.0,1.0098039215686274
101,75.0,247.0,176.0,1.0098039215686274
102,101.0,176.0,198.0,1.0098360655737704
103,176.0,258.0,198.0,1.0098360655737704
104,75.0,101.0,227.0,1.0098360655737704
105,75.0,101.0,176.0,1.0098360655737704
